# id: Unique edge ID
# source: Source node ID
# target: Target node ID
# relation: contains | imports | calls | inherits | references
# lineno: Line number where relation occurs
# end_lineno: End line number where relation occurs
id,source,target,relation,lineno,end_lineno
8ae745526d4156eb,deb6b1209bfae9ff,eea2b9557dc6ac22,contains,,
c9d826b6d8c845b5,deb6b1209bfae9ff,ec914e4686343c14,contains,,
2f5ffdb89ab999a2,deb6b1209bfae9ff,788db200953e4e31,contains,,
1d6340b8f935e8ec,deb6b1209bfae9ff,9c6e368adead5686,contains,,
9d6298607547f62d,deb6b1209bfae9ff,54d751ff05e28029,contains,,
e344eafadf85f861,deb6b1209bfae9ff,a4c0354e62d90c00,contains,,
fa816905bb1c440c,5753f8182a1e4ee7,9c172ba35d1faf70,contains,,
7309a700d7a5070a,9c172ba35d1faf70,77e3aac24e56fde4,contains,,
7069f04ba005c172,9c172ba35d1faf70,0f5750a7417f8620,contains,,
326d8bf6cf6d9487,9c172ba35d1faf70,9ea91f0b3c1f7929,contains,,
8a8e027ea3de62b3,9c172ba35d1faf70,198c63a6506d90d1,contains,,
6fe9802a455a396b,9e34d0118f335968,992bfd08a7520b87,contains,,
8a6937f7188e6c64,992bfd08a7520b87,fe36833459a7d59c,contains,,
fb07a3598ba3d267,992bfd08a7520b87,d1669e0238ba402a,contains,,
a7fd9c4659174270,992bfd08a7520b87,77155bee62266c00,contains,,
e6c62ffe087031bf,064cbb789600f09a,c94e45045aa2c6b4,contains,,
c97ec8f2642c05c3,064cbb789600f09a,cfaf1abe8d5149ff,contains,,
4abbdc80dc929b6c,064cbb789600f09a,1912f35e96a80342,contains,,
3367f845f92d3276,9bf45c862c9b259b,ca7c8b0ed79a1f1d,calls,47,47
550d713b42a0de2b,ad6a90a3221787ab,b9cb0c32a562bcea,calls,63,63
71c77d36c7a9d69e,ad6a90a3221787ab,cfaf1abe8d5149ff,calls,69,69
f63f4af41b726209,ad6a90a3221787ab,be1cde83a03a42d1,calls,74,74
f17c18765849fe5a,ad6a90a3221787ab,817376b54e3246a2,calls,76,76
8ff8bdc083fe3b99,ad6a90a3221787ab,98fbd7bd5466cbf6,calls,80,80
85d9bfcffd1d311b,2ad81157983979ea,bca0b8b2a97fe07e,calls,93,93
e656cb67461441fc,e8c475ae19653413,bca0b8b2a97fe07e,calls,97,97
198ac8acd76ab2aa,817376b54e3246a2,61f1db4ed1c378ce,calls,122,122
1a7dfd5e745ac4bc,817376b54e3246a2,9ad6f1d7e67c48f6,calls,156,166
d0959d5638514d62,817376b54e3246a2,f05d2c687f695ab8,calls,169,169
